input	score	concept_id	concept_name	concept_type
Biliary Pancreatitis	1000	C0747195	biliary pancreatitis (pancreatitis biliary)	Disease or Syndrome
Biliary Pancreatitis	861	C0030305	Pancreatitis	Disease or Syndrome
Biliary Strictures Caused by Malignant Neoplasms	861	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
Biliary Strictures Caused by Malignant Neoplasms	1000	C0006826	Malignant Neoplasms	Neoplastic Process
Biliary Tract Cancer	827	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Biliary Tract Cancer	1000	C0750952	Biliary Tract Cancer	Neoplastic Process
Biliary Tract Carcinoma	727	C0858970	carcinogenicity	Neoplastic Process
Biliary Tract Carcinoma	913	C0740476	biliary carcinoma	Neoplastic Process
Biliary Tract Carcinoma	827	C0007097	Carcinoma	Neoplastic Process
Biliary Tract Disease	1000	C0005424	Biliary tract disease (Biliary Tract Diseases)	Disease or Syndrome
Biliary Tract Disease	827	C0012634	Disease	Disease or Syndrome
Biliary Tract Disease	913	C0016977	Biliary disease (Gall Bladder Diseases)	Disease or Syndrome
Biliary Tract Diseases	913	C0016977	biliary diseases (Gall Bladder Diseases)	Disease or Syndrome
Biliary Tract Diseases	827	C0012634	Diseases (Disease)	Disease or Syndrome
Biliary Tract Diseases	1000	C0005424	Biliary Tract Diseases	Disease or Syndrome
Biliary Tract Neoplasms	827	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
Biliary Tract Neoplasms	1000	C0005426	Biliary Tract Neoplasms (Biliary Tract Neoplasm)	Neoplastic Process
Binge Eating Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Binge Eating Disorder Associated With Obesity	827	C0012634	Disorder (Disease)	Disease or Syndrome
Binge Eating Disorder Associated With Obesity	1000	C0028754	Obesity	Disease or Syndrome
Binge-Eating Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Binocular Vision Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Binocular Vision Disorder	1000	C0005461	Binocular vision disorder	Disease or Syndrome
Biochemical Recurrent Prostate Cancer	861	C0600139	Prostate Cancer (Prostate carcinoma)	Neoplastic Process
Biochemical Recurrent Prostate Cancer	712	C0242453	Prostatism	Sign or Symptom
Biochemical Recurrent Prostate Cancer	923	C0278838	recurrent prostate cancer	Neoplastic Process
Biochemical Recurrent Prostate Cancer	861	C0376358	Prostate Cancer (Malignant neoplasm of prostate)	Neoplastic Process
Biochemical Recurrent Prostate Cancer	875	C0549379	Recurrent Cancer (Recurrent Carcinoma)	Neoplastic Process
Biochemical Recurrent Prostate Cancer	812	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Biochemical Recurrent Prostate Cancer	875	C1458156	Recurrent Cancer (Recurrent Malignant Neoplasm)	Neoplastic Process
Biomarkers of Cardiovascular Disease	1000	C0007222	Cardiovascular disease (Cardiovascular Diseases)	Disease or Syndrome
Biomarkers of Cardiovascular Disease	861	C0012634	Disease	Disease or Syndrome
Biopsy-confirmed IgA Nephropathy	812	C0022658	Nephropathy (Kidney Diseases)	Disease or Syndrome
Biopsy-confirmed IgA Nephropathy	861	C0017661	Nephropathy, IGA (IGA Glomerulonephritis)	Disease or Syndrome
Biotin Deficiency	1000	C0268680	Biotin deficiency	Disease or Syndrome
Biotin Deficiency	1000	C2937225	Biotin deficiency (Biotin deficiency disease)	Disease or Syndrome
Biotin Deficiency	861	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Biphenotypic Leukemia	861	C0023418	Leukaemia (leukemia)	Neoplastic Process
Bipolar 1 Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Affective Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Affective Disorders	827	C0012634	Disorders (Disease)	Disease or Syndrome
Bipolar Disease Type I	645	C0012634	Disease	Disease or Syndrome
Bipolar Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder (BD)	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder Depression	660	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder I or II	660	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder Mania	660	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder NOS	660	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder With Manic or Mixed Episodes	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder With Psychotic Features	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder, Depressed	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder, Manic	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorder, Pediatric	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Bipolar I Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar I Disorder Without Psychotic Symptoms	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar I Disorder Without Psychotic Symptoms	1000	C0871189	psychotic symptoms (Psychotic symptom)	Sign or Symptom
Bipolar I Disorder Without Psychotic Symptoms	861	C1457887	Symptoms	Sign or Symptom
Bipolar I Disorder, Manic or Mixed	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar II Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar II Disorder, Most Recent Episode Major Depressive	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Spectrum Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Spectrum Disorder With Moderate-to- Severe Hypomania or Mild Mania	827	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar Type II Disorder	812	C0012634	Disorder (Disease)	Disease or Syndrome
Bipolar, Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Birch Pollen Allergy	901	C0018621	Pollen Allergy (Hay fever)	Disease or Syndrome
Bird Flu	1000	C0016627	Bird flu (Influenza in Birds)	Disease or Syndrome
Bird Flu	861	C0021400	Flu (Influenza)	Disease or Syndrome
Birdshot Chorioretinopathy	1000	C1853959	Birdshot chorioretinopathy	Disease or Syndrome
Birdshot Chorioretinopathy	861	C0339383	Chorioretinopathy (Choroidal and/or chorioretinal disorder)	Disease or Syndrome
Birt-Hogg-Dub̩ Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Birth Asphyxia	1000	C0004045	Birth asphyxia (Asphyxia Neonatorum)	Disease or Syndrome
Birth Defects	827	C1861101	DEFECT (THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT)	Disease or Syndrome
Bisphosphonate-associated ONJ	827	C1401381	ONJ (Osteonecrosis of Jaw)	Disease or Syndrome
Biventricular Failure	1000	C0685095	Biventricular failure (Biventricular congestive heart failure)	Disease or Syndrome
BK Viremia	861	C0042749	Viraemia (Viremia)	Disease or Syndrome
BK Virus (Nephropathy)	1000	C0022658	Nephropathy (Kidney Diseases)	Disease or Syndrome
BK Virus Infection	827	C0021311	Infection	Disease or Syndrome
BK Virus Infection	901	C0042769	virus infection (Virus Diseases)	Disease or Syndrome
Bladder (Urothelial, Transitional Cell) Cancer	827	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder (Urothelial, Transitional Cell) Cancer Metastatic or Unresectable	827	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder (Urothelial, Transitional Cell) Cancer Resectable (Pre-Cystectomy)	645	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder (Urothelial, Transitional Cell) Cancer Resectable (Pre-Cystectomy)	827	C3160858	PRES (Posterior reversible encephalopathy syndrome)	Disease or Syndrome
Bladder (Urothelial, Transitional Cell) Cancer Superficial (Non-Invasive)	827	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder Ca	1000	C0005684	Bladder Ca (Malignant neoplasm of urinary bladder)	Neoplastic Process
Bladder Cancer	1000	C0699885	Bladder Cancer (Carcinoma of bladder)	Neoplastic Process
Bladder Cancer	1000	C0005684	Bladder Cancer (Malignant neoplasm of urinary bladder)	Neoplastic Process
Bladder Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder Cancer Recurrence	827	C1458156	recurrence (Recurrent Malignant Neoplasm)	Neoplastic Process
Bladder Cancer Recurrence	734	C0005684	Bladder Cancer (Malignant neoplasm of urinary bladder)	Neoplastic Process
Bladder Cancer Recurrence	901	C0920420	cancer recurrence	Neoplastic Process
Bladder Cancer Recurrence	734	C0699885	Bladder Cancer (Carcinoma of bladder)	Neoplastic Process
Bladder Cancer Recurrence	660	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder Cancer Requiring Cystectomy	694	C0699885	Bladder Cancer (Carcinoma of bladder)	Neoplastic Process
Bladder Cancer Requiring Cystectomy	645	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bladder Cancer Requiring Cystectomy	694	C0005684	Bladder Cancer (Malignant neoplasm of urinary bladder)	Neoplastic Process
Bladder Cancers	861	C0006826	Cancers (Malignant Neoplasms)	Neoplastic Process
Bladder Cancers	1000	C0005684	Bladder Cancers (Malignant neoplasm of urinary bladder)	Neoplastic Process
Bladder Cancers	966	C0699885	Bladder Cancer (Carcinoma of bladder)	Neoplastic Process
Bladder Carcinoma	1000	C0699885	BLADDER CARCINOMA (Carcinoma of bladder)	Neoplastic Process
Bladder Carcinoma	861	C0007097	Carcinoma	Neoplastic Process
Bladder Carcinoma	761	C0858970	carcinogenicity	Neoplastic Process
Bladder Disease	1000	C0005686	Bladder Disease (Urinary Bladder Diseases)	Disease or Syndrome
Bladder Disease	861	C0012634	Disease	Disease or Syndrome
Bladder Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Bladder Diseases	1000	C0005686	Bladder Diseases (Urinary Bladder Diseases)	Disease or Syndrome
Bladder Disorder, Neurogenic	1000	C0005686	Bladder Disorder (Urinary Bladder Diseases)	Disease or Syndrome
Bladder Disorder, Neurogenic	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bladder Neoplasm	861	C0027651	Neoplasm (Neoplasms)	Neoplastic Process
Bladder Neoplasm	1000	C0005695	Bladder Neoplasm	Neoplastic Process
Bladder Neoplasms	861	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
Bladder Neoplasms	1000	C0005695	Bladder Neoplasms (Bladder Neoplasm)	Neoplastic Process
Bladder Spasms	827	C0037763	Spasm	Sign or Symptom
Bladder Spasms	1000	C0426390	bladder spasms (Bladder spasm)	Sign or Symptom
Bladder Tumors	1000	C0005695	Bladder Tumors (Bladder Neoplasm)	Neoplastic Process
Bladder Tumors	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Blast Crisis	1000	C0005699	Blast Crisis (Blast Phase)	Neoplastic Process
Blast Phase	1000	C0005699	Blast Phase	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	875	C1279296	Chronic leukaemia (Chronic leukemia (category))	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	867	C0856536	philadelphia chromosome positive	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	812	C0023418	Leukaemia (leukemia)	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	673	C0005699	Blast Phase	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	861	C0023470	Myelogenous Leukemia (Myeloid Leukemia)	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	923	C0023473	Chronic myelogenous leukaemia (Myeloid Leukemia, Chronic)	Neoplastic Process
Blast Phase Philadelphia Chromosomes Positive (Ph+) Chronic Myelogenous Leukemia (CML)	1000	C0279549	Ph- Chronic Myelogenous Leukemia (Philadelphia chromosome negative chronic myelogenous leukemia)	Neoplastic Process
Blast-phase Chronic Myelogenous Leukemia	840	C0023470	Myelogenous Leukemia (Myeloid Leukemia)	Neoplastic Process
Blast-phase Chronic Myelogenous Leukemia	884	C0023473	Chronic myelogenous leukaemia (Myeloid Leukemia, Chronic)	Neoplastic Process
Blast-phase Chronic Myelogenous Leukemia	853	C1279296	Chronic leukaemia (Chronic leukemia (category))	Neoplastic Process
Blast-phase Chronic Myelogenous Leukemia	1000	C0005699	Blast Phase Chronic Myelogenous Leukemia (Blast Phase)	Neoplastic Process
Blast-phase Chronic Myelogenous Leukemia	804	C0023418	Leukaemia (leukemia)	Neoplastic Process
Blast-phase Chronic Myelogenous Leukemia	897	C1378512	Blast leukemia (Blast cell leukemia)	Neoplastic Process
Blastic Phase Chronic Myelogenous Leukemia	1000	C0005699	blastic phase chronic myelogenous leukemia (Blast Phase)	Neoplastic Process
Blastic Phase Chronic Myelogenous Leukemia	840	C0023470	Myelogenous Leukemia (Myeloid Leukemia)	Neoplastic Process
Blastic Phase Chronic Myelogenous Leukemia	884	C0023473	Chronic myelogenous leukaemia (Myeloid Leukemia, Chronic)	Neoplastic Process
Blastic Phase Chronic Myelogenous Leukemia	897	C1378512	Blastic leukemia (Blast cell leukemia)	Neoplastic Process
Blastic Phase Chronic Myelogenous Leukemia	853	C1279296	Chronic leukaemia (Chronic leukemia (category))	Neoplastic Process
Blastic Phase Chronic Myelogenous Leukemia	804	C0023418	Leukaemia (leukemia)	Neoplastic Process
Blastic Plasmacytoid Dendritic Cell Neoplasm	1000	C1301363	Blastic plasmacytoid dendritic cell neoplasm	Neoplastic Process
Blastic Plasmacytoid Dendritic Cell Neoplasm	804	C0027651	Neoplasm (Neoplasms)	Neoplastic Process
Blastic Plasmacytoid Dendritic Cell Neoplasm	884	C1531553	Dendritic cell neoplasm	Neoplastic Process
Blastomycosis	1000	C0005716	Blastomycosis	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	1000	C0013404	Dyspnea	Sign or Symptom
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	1000	C0162557	Liver Failure, Acute	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	1000	C0018802	Heart Failure (Congestive heart failure)	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	1000	C0018099	Gout	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	901	C0085605	Liver Failure	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	907	C0003864	Arthritides (Arthritis)	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	1000	C0018801	Heart failure	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	901	C0341697	renal failure (Renal impairment)	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	901	C0035078	Renal Failure (Kidney Failure)	Disease or Syndrome
Bleeding ,Arrhythmias, Heart Failure, Acute Renal Failure, Acute Liver Failure, Dyspnoea, Gout	1000	C0022660	Acute Renal Failure (Kidney Failure, Acute)	Disease or Syndrome
Bleeding Disorder	1000	C0005779	bleeding disorder (Blood Coagulation Disorders)	Disease or Syndrome
Bleeding Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bleeding Gastric Varices	861	C0042345	Varices (Varicosity)	Disease or Syndrome
Bleeding Peptic Ulcer	1000	C0030920	Peptic Ulcer	Disease or Syndrome
Bleeding Peptic Ulcers	1000	C0030920	Ulcers, Peptic (Peptic Ulcer)	Disease or Syndrome
Bleeding Peptic Ulcers Disease	827	C0012634	Disease	Disease or Syndrome
Bleeding Peptic Ulcers Disease	983	C0030920	Peptic ulcer disease (Peptic Ulcer)	Disease or Syndrome
Bleeding Ulcer	1000	C0333291	Bleeding ulcer	Disease or Syndrome
Bleeding Varices	861	C0042345	Varices (Varicosity)	Disease or Syndrome
Blepharitis	1000	C0005741	Blepharitis	Disease or Syndrome
Blepharoconjunctivitis	1000	C0005743	Blepharoconjunctivitis	Disease or Syndrome
Blepharospasm	1000	C0005747	Blepharospasm	Sign or Symptom
Blind	1000	C0456909	Blind (Blind Vision)	Disease or Syndrome
Blindness	1000	C0456909	Blindness (Blind Vision)	Disease or Syndrome
Blindness, Legal	1000	C0456909	Blindness (Blind Vision)	Disease or Syndrome
Blister	1000	C0344311	blister (Blistering eruption)	Disease or Syndrome
Bloating	1000	C1291077	Bloating (Abdominal bloating)	Sign or Symptom
Blood and Blood Disorders	1000	C0018939	blood disorders (Hematological Disease)	Disease or Syndrome
Blood and Blood Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Blood and Blood Disorders	950	C0042373	VASCULAR DISORDERS (Vascular Diseases)	Disease or Syndrome
Blood Cancer	1000	C0348393	blood cancer (Malignant tumor of lymphoid hemopoietic and related tissue)	Neoplastic Process
Blood Cancer	958	C1655210	blood vessel cancer	Neoplastic Process
Blood Cancer	1000	C0376545	blood cancer (Hematologic Neoplasms)	Neoplastic Process
Blood Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Blood Cancers	941	C1655210	blood vessel cancer	Neoplastic Process
Blood Cancers	983	C0376545	blood cancer (Hematologic Neoplasms)	Neoplastic Process
Blood Cancers	861	C0006826	Cancers (Malignant Neoplasms)	Neoplastic Process
Blood Cancers	1000	C0348393	blood cancers (Malignant tumor of lymphoid hemopoietic and related tissue)	Neoplastic Process
Blood Coagulation Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Blood Coagulation Disorder	913	C0018939	Blood disorder (Hematological Disease)	Disease or Syndrome
Blood Coagulation Disorder	871	C0042373	blood vessel disorder (Vascular Diseases)	Disease or Syndrome
Blood Coagulation Disorder	1000	C0005779	Blood coagulation disorder (Blood Coagulation Disorders)	Disease or Syndrome
Blood Coagulation Disorders	1000	C0005779	Blood Coagulation Disorders	Disease or Syndrome
Blood Coagulation Disorders	863	C0042373	VASCULAR DISORDERS (Vascular Diseases)	Disease or Syndrome
Blood Coagulation Disorders	913	C0018939	blood disorders (Hematological Disease)	Disease or Syndrome
Blood Coagulation Disorders	827	C0012634	Disorders (Disease)	Disease or Syndrome
Blood Coagulation Disorders, Inherited	1000	C0005779	Blood Coagulation Disorders	Disease or Syndrome
Blood Coagulation Disorders, Inherited	863	C0042373	VASCULAR DISORDERS (Vascular Diseases)	Disease or Syndrome
Blood Coagulation Disorders, Inherited	913	C0018939	blood disorders (Hematological Disease)	Disease or Syndrome
Blood Coagulation Disorders, Inherited	827	C0012634	Disorders (Disease)	Disease or Syndrome
Blood Coagulation, Disorders	1000	C0012634	Disorders (Disease)	Disease or Syndrome
Blood Disease	1000	C1533163	Blood disease (Disorder of cellular component of blood)	Disease or Syndrome
Blood Disease	958	C0042373	blood vessel disease (Vascular Diseases)	Disease or Syndrome
Blood Disease	861	C0012634	Disease	Disease or Syndrome
Blood Disease	966	C0018939	Blood Diseases (Hematological Disease)	Disease or Syndrome
Blood Diseases	950	C0042373	Vascular Diseases	Disease or Syndrome
Blood Diseases	1000	C0018939	Blood Diseases (Hematological Disease)	Disease or Syndrome
Blood Diseases	966	C1533163	Blood disease (Disorder of cellular component of blood)	Disease or Syndrome
Blood Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Blood Gas Monitoring, Transcutaneous	660	C0016204	Gas (Flatulence)	Sign or Symptom
Blood Gas Monitoring, Transcutaneous	660	C0596601	gas (gastrointestinal gas)	Sign or Symptom
Blood Platelet Disorders	1000	C0005818	Blood Platelet Disorders	Disease or Syndrome
Blood Platelet Disorders	863	C0042373	VASCULAR DISORDERS (Vascular Diseases)	Disease or Syndrome
Blood Platelet Disorders	913	C0018939	blood disorders (Hematological Disease)	Disease or Syndrome
Blood Platelet Disorders	827	C0012634	Disorders (Disease)	Disease or Syndrome
Blood Protein Disorders	863	C0042373	VASCULAR DISORDERS (Vascular Diseases)	Disease or Syndrome
Blood Protein Disorders	913	C0018939	blood disorders (Hematological Disease)	Disease or Syndrome
Blood Protein Disorders	1000	C0005830	Blood Protein Disorders	Disease or Syndrome
Blood Protein Disorders	827	C0012634	Disorders (Disease)	Disease or Syndrome
Blood Stream Infection	827	C0021311	Infection	Disease or Syndrome
Blood Stream Infections	827	C0021311	Infections (Infection)	Disease or Syndrome
Bloodstream Infection	861	C0021311	Infection	Disease or Syndrome
Bloody Nipple Discharge	901	C0149741	nipple discharge	Sign or Symptom
Bloody Nipple Discharge	1000	C0541951	Bloody nipple discharge	Sign or Symptom
Bloom Syndrome	861	C0039082	Syndrome	Disease or Syndrome
Bodily Distress Disorder	1000	C0012634	Disorder (Disease)	Disease or Syndrome
Body Dysmorphic Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Body Dysmorphic Disorders	827	C0012634	Disorders (Disease)	Disease or Syndrome
Body Fat Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Body Fat Disorder	901	C0154251	fat disorder (Lipid Metabolism Disorders)	Disease or Syndrome
Body Posture Alignment Condition	812	C0012634	condition (Disease)	Disease or Syndrome
Boils	1000	C0242301	Boils (furuncle)	Disease or Syndrome
Bone and Joint Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bone and Joint Infections	861	C0021311	Infections (Infection)	Disease or Syndrome
Bone and Joint Infections	983	C0157749	Joint infection (Arthropathy associated with infection)	Disease or Syndrome
Bone Cancer	1000	C0585442	bone cancer (Osteosarcoma of bone)	Neoplastic Process
Bone Cancer	1000	C0279530	Bone Cancer (Malignant Bone Neoplasm)	Neoplastic Process
Bone Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bone Cyst	861	C0010709	Cyst	Disease or Syndrome
Bone Cysts	861	C0010709	Cysts (Cyst)	Disease or Syndrome
Bone Dehiscence Defects	793	C1861101	DEFECT (THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT)	Disease or Syndrome
Bone Demineralization	1000	C0242699	bone demineralization (Bone Demineralization, Pathologic)	Disease or Syndrome
Bone Disease	1000	C0005940	Bone disease (Bone Diseases)	Disease or Syndrome
Bone Disease	861	C0012634	Disease	Disease or Syndrome
Bone Disease, Metabolic	1000	C0005940	Bone disease (Bone Diseases)	Disease or Syndrome
Bone Disease, Metabolic	861	C0012634	Disease	Disease or Syndrome
Bone Diseases	1000	C0005940	Bone Diseases	Disease or Syndrome
Bone Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Bone Diseases, Endocrine	1000	C0005940	Bone Diseases	Disease or Syndrome
Bone Diseases, Endocrine	861	C0012634	Diseases (Disease)	Disease or Syndrome
Bone Diseases, Metabolic	1000	C0005940	Bone Diseases	Disease or Syndrome
Bone Diseases, Metabolic	861	C0012634	Diseases (Disease)	Disease or Syndrome
Bone Disorder	1000	C0005940	BONE DISORDER (Bone Diseases)	Disease or Syndrome
Bone Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Bone Fragility	1000	C1390474	Bone fragility	Disease or Syndrome
Bone Infection	1000	C2242472	Bone infection (Infection of bone)	Disease or Syndrome
Bone Infection	1000	C0029443	bone infection (Osteomyelitis)	Disease or Syndrome
Bone Infection	861	C0021311	Infection	Disease or Syndrome
Bone Marrow Disease	913	C0005940	Bone disease (Bone Diseases)	Disease or Syndrome
Bone Marrow Disease	1000	C0005956	Bone Marrow Disease (Bone Marrow Diseases)	Disease or Syndrome
Bone Marrow Disease	827	C0012634	Disease	Disease or Syndrome
Bone Marrow Diseases	1000	C0005956	Bone Marrow Diseases	Disease or Syndrome
Bone Marrow Diseases	827	C0012634	Diseases (Disease)	Disease or Syndrome
Bone Marrow Diseases	913	C0005940	Bone Diseases	Disease or Syndrome
Bone Marrow Edema of the Knee	1000	C0948162	bone marrow edema	Disease or Syndrome
Bone Marrow Failure	1000	C0030312	Bone marrow failure (Pancytopenia)	Disease or Syndrome
Bone Marrow Failure Syndrome	983	C2931245	Bone Marrow failure syndromes	Disease or Syndrome
Bone Marrow Failure Syndrome	756	C0030312	Bone marrow failure (Pancytopenia)	Disease or Syndrome
Bone Marrow Failure Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Bone Marrow Failure Syndromes	812	C0039082	Syndromes (Syndrome)	Disease or Syndrome
Bone Marrow Failure Syndromes	1000	C2931245	Bone Marrow failure syndromes	Disease or Syndrome
Bone Marrow Failure Syndromes	756	C0030312	Bone marrow failure (Pancytopenia)	Disease or Syndrome
Bone Marrow Neoplasms	827	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
Bone Marrow Neoplasms	873	C0751887	Medullary Neoplasms	Neoplastic Process
Bone Marrow Neoplasms	1000	C0282609	Bone Marrow Neoplasms	Neoplastic Process
Bone Marrow Neoplasms	913	C0005967	Bone neoplasms	Neoplastic Process
Bone Marrow Transplant Failure	1000	C0340991	Bone marrow transplant failure	Disease or Syndrome
Bone Marrow Transplant Failure	923	C0030312	Bone marrow failure (Pancytopenia)	Disease or Syndrome
Bone Marrow, Sympathetic Nervous System	827	C0027769	Nervous (Nervousness)	Sign or Symptom
Bone Metastases	861	C0027627	Metastases (Neoplasm Metastasis)	Neoplastic Process
Bone Metastases	827	C2939420	metastasis (Metastatic Neoplasm)	Neoplastic Process
Bone Metastases	1000	C0153690	bone metastases (Secondary malignant neoplasm of bone)	Neoplastic Process
Bone Metastases	861	C2939419	Metastases (Secondary Neoplasm)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	827	C2939420	metastasis (Metastatic Neoplasm)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	1000	C0153690	bone metastases (Secondary malignant neoplasm of bone)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	861	C0027627	Metastases (Neoplasm Metastasis)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	861	C0600139	Prostate Cancer (Prostate carcinoma)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	712	C0242453	Prostatism	Sign or Symptom
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	1000	C1328504	Hormone refractory prostate cancer	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	861	C0376358	Prostate Cancer (Malignant neoplasm of prostate)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	861	C2939419	Metastases (Secondary Neoplasm)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	812	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Bone Metastases in Men With Hormone-Refractory Prostate Cancer	875	C0677936	Refractory Cancer (Refractory Carcinoma)	Neoplastic Process
Bone Metastases in Subjects With Advanced Breast Cancer	827	C2939420	metastasis (Metastatic Neoplasm)	Neoplastic Process
Bone Metastases in Subjects With Advanced Breast Cancer	1000	C0153690	bone metastases (Secondary malignant neoplasm of bone)	Neoplastic Process
Bone Metastases in Subjects With Advanced Breast Cancer	861	C0027627	Metastases (Neoplasm Metastasis)	Neoplastic Process
Bone Metastases in Subjects With Advanced Breast Cancer	913	C0877373	Advanced Cancer (Advanced Malignant Neoplasm)	Neoplastic Process
